Website,URL,Color,Percent
Google,https://www.google.com/?gws_rd=ssl,#4385F4,24%
Google,https://www.google.com/?gws_rd=ssl,#186DED,16%
Google,https://www.google.com/?gws_rd=ssl,#1166E7,10%
Google,https://www.google.com/?gws_rd=ssl,#4483ED,10%
Google,https://www.google.com/?gws_rd=ssl,#009A57,7%
Google,https://www.google.com/?gws_rd=ssl,#4387FB,7%
Google,https://www.google.com/?gws_rd=ssl,#D4402B,7%
Google,https://www.google.com/?gws_rd=ssl,#FFB602,6%
Google,https://www.google.com/?gws_rd=ssl,#DC4D3A,4%
Google,https://www.google.com/?gws_rd=ssl,#D94C38,4%
Google,https://www.google.com/?gws_rd=ssl,#FFC124,3%
Google,https://www.google.com/?gws_rd=ssl,#669CF2,2%
YouTube,https://www.youtube.com,#B4211C,17%
YouTube,https://www.youtube.com,#763C2F,14%
YouTube,https://www.youtube.com,#972A1E,13%
YouTube,https://www.youtube.com,#CA4C34,9%
YouTube,https://www.youtube.com,#4E91C8,8%
YouTube,https://www.youtube.com,#786E4E,8%
YouTube,https://www.youtube.com,#95744D,6%
YouTube,https://www.youtube.com,#CDA366,5%
YouTube,https://www.youtube.com,#556C65,5%
YouTube,https://www.youtube.com,#365274,5%
YouTube,https://www.youtube.com,#A27A6A,5%
YouTube,https://www.youtube.com,#A5966E,5%
Welcome to Facebook ...,http://www.facebook.com,#3B5998,81%
Welcome to Facebook ...,http://www.facebook.com,#5D9649,5%
Welcome to Facebook ...,http://www.facebook.com,#66A853,3%
Welcome to Facebook ...,http://www.facebook.com,#B5C1D6,2%
Welcome to Facebook ...,http://www.facebook.com,#EBB94A,2%
Welcome to Facebook ...,http://www.facebook.com,#9CAAC7,1%
Welcome to Facebook ...,http://www.facebook.com,#9FADC9,1%
Welcome to Facebook ...,http://www.facebook.com,#6078A7,1%
Welcome to Facebook ...,http://www.facebook.com,#CC6F37,1%
Welcome to Facebook ...,http://www.facebook.com,#7C90B3,1%
Welcome to Facebook ...,http://www.facebook.com,#8396BE,1%
Welcome to Facebook ...,http://www.facebook.com,#5B74A9,1%
Yahoo,http://www.yahoo.com,#3450E1,30%
Yahoo,http://www.yahoo.com,#643EA0,25%
Yahoo,http://www.yahoo.com,#A26E55,9%
Yahoo,http://www.yahoo.com,#754938,6%
Yahoo,http://www.yahoo.com,#353279,5%
Yahoo,http://www.yahoo.com,#556FE8,4%
Yahoo,http://www.yahoo.com,#697EEC,4%
Yahoo,http://www.yahoo.com,#A2A8EF,4%
Yahoo,http://www.yahoo.com,#CE9576,4%
Yahoo,http://www.yahoo.com,#7793EF,3%
Yahoo,http://www.yahoo.com,#AAA0A0,3%
Yahoo,http://www.yahoo.com,#C57D5E,3%
Twitter,http://www.twitter.com,#503819,21%
Twitter,http://www.twitter.com,#6C5228,18%
Twitter,http://www.twitter.com,#9F8B5E,9%
Twitter,http://www.twitter.com,#A99468,8%
Twitter,http://www.twitter.com,#5F4925,8%
Twitter,http://www.twitter.com,#B1AB8C,7%
Twitter,http://www.twitter.com,#9B865A,6%
Twitter,http://www.twitter.com,#B0A786,6%
Twitter,http://www.twitter.com,#AE9B70,6%
Twitter,http://www.twitter.com,#A18E65,5%
Twitter,http://www.twitter.com,#755D39,3%
Twitter,http://www.twitter.com,#B0AD8F,3%
Netflix - Watch TV S...,http://www.netflix.com,#8383F6,61%
Netflix - Watch TV S...,http://www.netflix.com,#3030F1,28%
Netflix - Watch TV S...,http://www.netflix.com,#7A7AF5,10%
Netflix - Watch TV S...,http://www.netflix.com,#C1BDB6,1%
NTD Television - NTD...,http://www.ntd.tv,#1345BC,17%
NTD Television - NTD...,http://www.ntd.tv,#5176B3,13%
NTD Television - NTD...,http://www.ntd.tv,#584A34,11%
NTD Television - NTD...,http://www.ntd.tv,#976D5E,9%
NTD Television - NTD...,http://www.ntd.tv,#098DF3,9%
NTD Television - NTD...,http://www.ntd.tv,#0371F3,8%
NTD Television - NTD...,http://www.ntd.tv,#0851EF,8%
NTD Television - NTD...,http://www.ntd.tv,#443F57,6%
NTD Television - NTD...,http://www.ntd.tv,#A7916F,5%
NTD Television - NTD...,http://www.ntd.tv,#CBA070,5%
NTD Television - NTD...,http://www.ntd.tv,#BA5129,5%
NTD Television - NTD...,http://www.ntd.tv,#D2AB98,4%
World's Largest ...,https://www.linkedin.com,#513934,21%
World's Largest ...,https://www.linkedin.com,#A4615C,12%
World's Largest ...,https://www.linkedin.com,#734A3F,9%
World's Largest ...,https://www.linkedin.com,#6A5F54,8%
World's Largest ...,https://www.linkedin.com,#9B7253,8%
World's Largest ...,https://www.linkedin.com,#D19E7A,8%
World's Largest ...,https://www.linkedin.com,#A4A168,6%
World's Largest ...,https://www.linkedin.com,#CFAF98,6%
World's Largest ...,https://www.linkedin.com,#D16F6A,6%
World's Largest ...,https://www.linkedin.com,#346AA9,6%
World's Largest ...,https://www.linkedin.com,#086A9B,5%
World's Largest ...,https://www.linkedin.com,#7C9A42,5%
Diply,http://diply.com,#0084D5,99%
Diply,http://diply.com,#97CCEE,1%
Diply,http://diply.com,#76BDE8,0%
Diply,http://diply.com,#68B6E6,0%
Diply,http://diply.com,#56ADE3,0%
Diply,http://diply.com,#349DDE,0%
Diply,http://diply.com,#5DB1E4,0%
Diply,http://diply.com,#49A7E1,0%
Diply,http://diply.com,#138DD8,0%
Diply,http://diply.com,#88C6EB,0%
Diply,http://diply.com,#2797DB,0%
Diply,http://diply.com,#1D92DA,0%
Tumblr,https://www.tumblr.com,#2C4762,41%
Tumblr,https://www.tumblr.com,#36506B,20%
Tumblr,https://www.tumblr.com,#72413D,7%
Tumblr,https://www.tumblr.com,#6AA0A2,5%
Tumblr,https://www.tumblr.com,#48A269,4%
Tumblr,https://www.tumblr.com,#9F6554,4%
Tumblr,https://www.tumblr.com,#A29D6E,4%
Tumblr,https://www.tumblr.com,#3F66A3,3%
Tumblr,https://www.tumblr.com,#347751,3%
Tumblr,https://www.tumblr.com,#5DFB90,3%
Tumblr,https://www.tumblr.com,#EE9C64,3%
Tumblr,https://www.tumblr.com,#CEA564,3%
Pinterest,https://www.pinterest.com,#354D81,19%
Pinterest,https://www.pinterest.com,#3D588F,16%
Pinterest,https://www.pinterest.com,#5573B6,16%
Pinterest,https://www.pinterest.com,#4E6BAB,15%
Pinterest,https://www.pinterest.com,#CA2025,13%
